id,imageUrl,rating,voteCount,country,language,keywords,plot,cast,crew
tt0011130,https://m.media-amazon.com/images/M/MV5BYjYzZGQwMGUtZDkyMC00ODUwLTljYzMtOGQ3Njc1M2VlZThjXkEyXkFqcGc@._V1_.jpg,6.9,6330,US,"('zxx',)","[""self experimentation"", ""mutation"", ""physical deterioration"", ""mental deterioration"", ""moral deterioration"", ""insanity"", ""potion"", ""experiment gone wrong"", ""based on novel"", ""gothic horror"", ""good versus evil"", ""silent film"", ""cult film"", ""character names in title"", ""dr. jekyll and mr. hyde characters"", ""dr. henry jekyll character"", ""mr. edward hyde character"", ""top hat"", ""venom"", ""marriage"", ""malignancy"", ""malignity"", ""ballerina"", ""fingers"", ""beaten to death"", ""spider"", ""spider crawls on someone"", ""spider crawling on someone"", ""spider crawling on face"", ""emaciated man"", ""man sleeping"", ""degradation"", ""chinese stereotype"", ""deterioration"", ""decay"", ""rapid deterioration of body"", ""candle"", ""sick child"", ""father of the bride"", ""england"", ""silent horror"", ""silent"", ""scientist"", ""murderer"", ""hidden dark side"", ""duality"", ""young and innocent"", ""decadence"", ""cleavage"", ""damsel in distress"", ""human nature"", ""medical doctor"", ""human skull"", ""poverty and wealth"", ""cape"", ""hansom cab"", ""medical clinic"", ""scandal sheet"", ""father daughter relationship"", ""man kisses a woman's hand"", ""wealthy philanthropist"", ""disabled boy"", ""dancing woman"", ""scantily clad woman"", ""candlelight"", ""poison in a ring"", ""lodging house"", ""licentiousness"", ""poisoned drink"", ""jester"", ""marriage proposal rejected"", ""soho london"", ""last will and testament"", ""man and woman move in together"", ""kicked out"", ""victorian london"", ""bare shoulder"", ""man kisses a woman"", ""walking with a cane"", ""delusional man"", ""father confronts daughter's boyfriend"", ""hunched over"", ""man with a ponytail"", ""man kisses a woman's neck"", ""mysterious disappearance"", ""street child"", ""child attacked"", ""beaten with a cane"", ""giant spider"", ""empty bottle"", ""suicide of protagonist"", ""based on the works of robert louis stevenson"", ""death of protagonist"", ""servant"", ""murder of father"", ""flashback"", ""personality"", ""music hall"", ""experiment"", ""doctor""]","Dr. Henry Jekyll experiments with scientific means of revealing the hidden, dark side of man and releases a murderer from within himself.","[""nm0000858"", ""nm0403582"", ""nm0543806"", ""nm0485274""]","[""nm0731910""]"
tt0011237,https://m.media-amazon.com/images/M/MV5BMTQ5MTQxMzkxNV5BMl5BanBnXkFtZTgwNTc4MjIyMjE@._V1_.jpg,7.2,8973,DE,"('de',)","[""monster"", ""prague bohemia"", ""jewish culture"", ""prague jewish quarter"", ""creature"", ""loam"", ""giant creature"", ""golem"", ""rabbi"", ""expressionism"", ""servant"", ""jewish ghetto"", ""anti semitism"", ""witch"", ""jew"", ""dragged by one's hair"", ""ritual"", ""fight"", ""breaking down a door"", ""central europe"", ""german expressionism"", ""statue comes to life"", ""silent henchman"", ""monster as victim"", ""synagogue"", ""monster movie"", ""murder"", ""illicit love"", ""festival"", ""falling from height"", ""eviction"", ""emperor"", ""destruction"", ""decree"", ""jewish"", ""remake"", ""horns"", ""black magic"", ""fire"", ""astrology"", ""court"", ""based on novel"", ""psychotronic film"", ""prague czechoslovakia"", ""giant monster"", ""character name in title""]","In 16th-century Prague, a rabbi creates the Golem - a giant creature made of clay. Using sorcery, he brings the creature to life in order to protect the Jews of Prague from persecution.","[""nm0826210"", ""nm0758802"", ""nm0222074"", ""nm0836755""]","[""nm0917467"", ""nm0091380""]"
tt0011841,https://m.media-amazon.com/images/M/MV5BMjI5OTI3NTQ4NV5BMl5BanBnXkFtZTgwNDY3NTAwMjE@._V1_.jpg,7.3,6076,US,"('en',)","[""blockbuster"", ""domestic drama"", ""snow adventure"", ""chase sequence"", ""period drama"", ""costume drama"", ""tearjerker romance"", ""dark romance"", ""period romance"", ""epic romance"", ""girl"", ""fake wedding"", ""country girl"", ""female protagonist"", ""waterfall"", ""river rescue"", ""last second rescue"", ""male female relationship"", ""floating ice"", ""ice floe"", ""love"", ""newborn baby"", ""winter"", ""wedding ceremony"", ""visiting relatives"", ""summer"", ""suicide attempt"", ""smoking"", ""sewing"", ""secret marriage"", ""rumor"", ""poor girl"", ""party"", ""mother daughter relationship"", ""melting ice"", ""love at first sight"", ""kitten"", ""jealousy"", ""hidden truth"", ""gigolo"", ""fireplace"", ""fancy dress"", ""fake marriage"", ""dog"", ""death of a baby"", ""dead mother"", ""dancing"", ""cocktail party"", ""betrayal"", ""melodrama"", ""remake"", ""death of mother"", ""based on play""]","A naive country girl is tricked into a sham marriage by a wealthy womanizer, then must rebuild her life despite the taint of having borne a child out of wedlock.","[""nm0001273"", ""nm0001932"", ""nm0484472"", ""nm0792514""]","[""nm0000428""]"
tt0012349,https://m.media-amazon.com/images/M/MV5BNjkxMzY1NTQtN2YwOS00NmIwLTlkNTMtMjNkMzk1ZTk3ZDU2XkEyXkFqcGc@._V1_.jpg,8.2,140063,US,"('zxx',)","[""the little tramp character"", ""1910s"", ""social worker"", ""thief"", ""child"", ""baby"", ""semi autobiographical"", ""broken window"", ""foundling"", ""national film registry"", ""theft"", ""doctor"", ""pancake"", ""smoking in bed"", ""hospital"", ""charity hospital"", ""briefcase"", ""baby carriage"", ""police chase"", ""thrown out of a car"", ""chauffeur"", ""pickpocket"", ""sharing a bed"", ""mansion"", ""cigar smoking"", ""cigarette smoking"", ""blockbuster"", ""paternity"", ""generosity"", ""heart of gold"", ""california"", ""child born out of wedlock"", ""poverty"", ""melodrama"", ""1920s"", ""directed by star"", ""dream sequence"", ""class differences"", ""mother son relationship"", ""orphanage"", ""actress"", ""music score composed by director"", ""slapstick comedy"", ""surprise ending"", ""star"", ""mustache"", ""broken chair"", ""stairwell"", ""baton twirling"", ""fight"", ""driver"", ""inn"", ""coin"", ""scam"", ""kidnapping"", ""kiosk"", ""dawn"", ""flower"", ""object in nose"", ""fake angel wings"", ""winking"", ""archway"", ""handshake"", ""compassion"", ""police officer"", ""car theft"", ""homeless shelter"", ""hit with a brick"", ""flirting"", ""newspaper ad"", ""tearjerker"", ""buddy comedy"", ""kids family"", ""domestic drama"", ""apartment"", ""public domain"", ""medical examination"", ""bouquet"", ""shooting"", ""sick child"", ""window smashing"", ""missing child"", ""stepfather"", ""rooftop"", ""shoe"", ""year 1921"", ""year 1916"", ""20th century"", ""public domain film"", ""title appears in text"", ""suicide attempt"", ""bully"", ""devil"", ""angel"", ""title spoken by character""]","The Tramp cares for an abandoned child, but events put their relationship in jeopardy.","[""nm0000122"", ""nm0001067"", ""nm0588033"", ""nm0701012""]","[""nm0000122""]"
tt0012364,https://m.media-amazon.com/images/M/MV5BNGVmY2EyZTktYzUwMy00YTU1LWJhZDYtNjIwYTFhMTZhOTVhXkEyXkFqcGc@._V1_.jpg,8.0,14859,SE,"('zxx',)","[""ghost story"", ""ghost"", ""new year's eve"", ""flashback"", ""cemetery"", ""flashback within a flashback"", ""story within a story"", ""tuberculosis"", ""suicide attempt"", ""revenge"", ""grim reaper"", ""forgiveness"", ""death"", ""oneiric"", ""salvation army"", ""accused of cheating"", ""card game"", ""death by drowning"", ""double exposure"", ""despair"", ""breaking through a door"", ""russian and scandinavian mythology"", ""carriage driver"", ""redemption"", ""deathbed"", ""salvation"", ""fight"", ""chariot"", ""tavern"", ""storytelling"", ""pneumonia"", ""picnic"", ""love at first sight"", ""death wish"", ""axe"", ""based on novel"", ""sweden"", ""horse and carriage"", ""midnight"", ""psychopomp"", ""salvation army shelter"", ""hit with a bottle"", ""clock strikes twelve"", ""key hidden under the doormat"", ""patching clothes"", ""locked in a room"", ""family relationships"", ""holiday horror"", ""fainting"", ""marriage"", ""prayer"", ""marital separation"", ""husband wife reunion"", ""brother brother relationship"", ""jail"", ""release from prison"", ""coat"", ""man"", ""female nudity"", ""alcoholism""]","On New Year's Eve, the driver of a ghostly carriage forces a drunken man to reflect on his selfish, wasted life.","[""nm0803705"", ""nm0096737"", ""nm0841061"", ""nm0391474""]","[""nm0803705""]"
tt0012494,https://m.media-amazon.com/images/M/MV5BOGQ4NjhkMDktOTJhMC00ZTk0LTliYzEtOTAyZDcxMmZlMTE4XkEyXkFqcGc@._V1_.jpg,7.6,6988,DE,"('de',)","[""expressionism"", ""reaper"", ""monster movie"", ""silent film"", ""silent movie"", ""jade"", ""attempted rape"", ""topless woman"", ""female nudity"", ""mardi gras"", ""carnivale"", ""fiance fiancee relationship"", ""death"", ""wall"", ""stranger"", ""china"", ""inn"", ""cemetery"", ""life after death"", ""self sacrifice"", ""house on fire"", ""impossible task"", ""metamorphosis"", ""caliph"", ""magic wand"", ""magician"", ""flying carpet"", ""chinese emperor"", ""intercepted letter"", ""love letter"", ""poisoned blade"", ""carnival of venice"", ""venice italy"", ""female topless nudity"", ""muslim"", ""interfaith relationship"", ""forbidden love"", ""impossible love"", ""cross dressing"", ""whirling dervish"", ""ottoman empire"", ""flame"", ""candle"", ""defying death"", ""life and death battle"", ""full moon"", ""ghost"", ""ghostly vision"", ""pharmacist"", ""hourglass"", ""fear of death"", ""small town"", ""death personified"", ""death of loved one"", ""expressionist""]","When a woman's fiancé disappears, Death gives her three chances to save him from his fate.","[""nm0324553"", ""nm0196820"", ""nm0418079"", ""nm0827905""]","[""nm0000485""]"
tt0012532,https://m.media-amazon.com/images/M/MV5BMDM1ZmM5NWUtYmNlNy00ODcyLWFmNDQtMWI0Y2NmOGI4YzQ2XkEyXkFqcGc@._V1_.jpg,7.3,5626,US,"('en',)","[""torture"", ""forced to sing"", ""france"", ""epic drama"", ""political drama"", ""period drama"", ""costume drama"", ""epic history"", ""epic romance"", ""period romance"", ""real life sisters playing sisters"", ""orphaned protagonist"", ""orphaned girl"", ""bolshevism"", ""lorgnette"", ""poverty and wealth"", ""horse drawn carriage"", ""tri cornered hat"", ""sisters relationship"", ""wealth and privilege"", ""kidnapped girl"", ""blind girl"", ""trapdoor"", ""decadence"", ""nipples visible through clothing"", ""carried on a sofa"", ""smelling salts"", ""beehive hairdo"", ""powdered wig"", ""close up of eyes"", ""chevalier"", ""big hair"", ""lecherous man"", ""maximilien robespierre character"", ""stolen kiss"", ""locked in a cellar"", ""downpour"", ""damsel in distress"", ""1780s"", ""search for missing sister"", ""blind beggar"", ""sleeping on the floor"", ""hiding someone"", ""peeping through a keyhole"", ""kiss on the cheek"", ""sedan chair"", ""forbidden love"", ""melodrama"", ""flintlock rifle"", ""storming of the bastille"", ""mob violence"", ""bare chested male"", ""threatened with a knife"", ""person thought dead is alive"", ""horse cart"", ""cleaver"", ""aristocrat"", ""peasants vs aristocrats"", ""tyrant"", ""sentenced to death"", ""reunited sisters"", ""fixed bayonet"", ""mob rule"", ""door slammed in face"", ""hitting the wrong person"", ""woman tied up"", ""crown of thorns"", ""women kissing each other"", ""sisters kissing"", ""oration"", ""barred door"", ""executioner"", ""in the nick of time"", ""sister sister hug"", ""poke"", ""halberd"", ""hugging one's sister"", ""flashback"", ""danton character"", ""foundling"", ""federal pardon"", ""monochromatic color"", ""deception"", ""mistaken impression"", ""thomas jefferson character"", ""nobility"", ""title co written by female"", ""class conflict"", ""fallen women"", ""old hag"", ""familiar voice"", ""extortion"", ""sword fight"", ""king louis xvii"", ""saved from execution"", ""locket necklace"", ""filmmaker writer director producer"", ""baby given up for adoptation"", ""marital proposal declined"", ""cult director""]","Two orphaned sisters are caught up in the turmoil of the French Revolution, encountering misery and love along the way.","[""nm0001273"", ""nm0321088"", ""nm0771584"", ""nm0521310""]","[""nm0000428""]"
tt0013086,https://m.media-amazon.com/images/M/MV5BM2FkMGNhOGUtMjE4OC00MzFlLTgxNmYtZGU0YjQ3YzMzMGM2XkEyXkFqcGc@._V1_.jpg,7.8,9497,DE,"('de',)","[""berlin germany"", ""criminal underworld"", ""master of disguise"", ""mind control"", ""counterfeit money"", ""stock exchange"", ""gambling den"", ""state prosecutor"", ""weimar republic"", ""psychoanalyst"", ""criminal mastermind"", ""hypnosis"", ""hypnotist"", ""stolen papers"", ""train robbery"", ""card game"", ""secret message"", ""henchman"", ""stock market panic"", ""cabaret"", ""female nudity"", ""female full frontal nudity"", ""cabaret performance"", ""dancer"", ""gentlemen's club"", ""underground casino"", ""illegal gambling"", ""seance"", ""undercover"", ""depression"", ""count"", ""drinking"", ""cardsharp"", ""suicide"", ""sniper"", ""bomb"", ""assassination attempt"", ""women's prison"", ""gunfight"", ""trance"", ""explosion"", ""mob"", ""prisoner transport"", ""hallucination"", ""driven to suicide"", ""car chase"", ""driven to insanity"", ""incarceration"", ""blindness"", ""lecturer"", ""shaved pubic hair"", ""millionaire"", ""count and countess"", ""kidnapped woman"", ""iou"", ""suicide by poison"", ""escaping through a sewer"", ""telephone call"", ""female topless nudity"", ""military force"", ""chauffeur"", ""haunted by own murder victim"", ""room key"", ""car accident"", ""evil genius"", ""evil scheme"", ""criminal organization"", ""psychotronic film"", ""police"", ""police commissioner"", ""police officer"", ""villain"", ""evil man"", ""evil"", ""good versus evil"", ""manipulation"", ""hypnotism"", ""exploding car"", ""stock manipulation"", ""detective"", ""police detective"", ""adrift in a rowboat"", ""car falls off a cliff"", ""doctor mabuse character"", ""criminal"", ""disguise"", ""mansion"", ""workshop"", ""underground"", ""casino"", ""stock market"", ""lookout"", ""manservant"", ""gambling"", ""counterfeiting"", ""underworld"", ""mastermind"", ""pocket watch"", ""railway"", ""duology""]",Arch-criminal Dr. Mabuse sets out to make a fortune and run Berlin. Detective Wenk sets out to stop him.,"[""nm0459030"", ""nm0250790"", ""nm0919684"", ""nm0002154""]","[""nm0000485""]"
tt0013257,https://m.media-amazon.com/images/M/MV5BMjEwMzgzMTEtYzI3ZS00M2M4LWJjZGYtY2UxZjgzNzNjNjc0XkEyXkFqcGc@._V1_.jpg,7.6,17845,SE,"('sv',)","[""witchcraft"", ""witch trial"", ""devil worship"", ""witch"", ""middle ages"", ""hysteria"", ""devil"", ""accusation of witchcraft"", ""torture chamber"", ""torture"", ""torture device"", ""cult film"", ""1480s"", ""1920s"", ""interrogation"", ""accused of witchcraft"", ""catholic priest"", ""superstition"", ""false accusation"", ""misogyny"", ""homage"", ""judge"", ""skull"", ""frog"", ""snake"", ""year 1488"", ""pagan worship"", ""satanic worship"", ""rack torture"", ""finger"", ""magician"", ""neurologist"", ""nun"", ""nude woman"", ""tied up"", ""lead"", ""flying on a broomstick"", ""whipping"", ""magic spell"", ""falsely accused of witchcraft"", ""hung by wrists"", ""jewelry store"", ""psychotronic film"", ""flying broomstick"", ""stocks the punishment device"", ""pyrophobia"", ""stop motion"", ""baby"", ""convent"", ""self punishment"", ""theft"", ""shower"", ""fire"", ""swedish lifestyle"", ""paganism"", ""pagan"", ""sweden"", ""year 1922"", ""norse mythology"", ""eastern europe"", ""scandinavia"", ""eastern scandinavia"", ""reenactment"", ""holiday horror"", ""religion and spirituality documentary"", ""social documentary"", ""dark fantasy"", ""supernatural fantasy"", ""witch horror"", ""historical documentary"", ""period horror"", ""post classical history"", ""folk horror"", ""magical potion"", ""supernatural horror"", ""tarot card"", ""soul leaves body"", ""sacrilege"", ""pyromania"", ""human sacrifice"", ""hallucination"", ""execution"", ""crystal ball"", ""burned at the stake"", ""monastery"", ""evil nun"", ""child sacrifice"", ""seduction"", ""grave robbing"", ""love potion"", ""kleptomaniac"", ""inquisition"", ""reference to satan"", ""rape culture""]","Fictionalized documentary showing the evolution of witchcraft, from its pagan roots to its confusion with hysteria in Eastern Europe.","[""nm0669922"", ""nm0690702"", ""nm0684773"", ""nm0834325""]","[""nm0159725""]"
tt0013427,https://m.media-amazon.com/images/M/MV5BMTg4Njk3MjU5Ml5BMl5BanBnXkFtZTgwOTIyODg5MTE@._V1_.jpg,7.6,13868,FR,"('en',)","[""inuit"", ""igloo"", ""kayak"", ""canada"", ""walrus hunting"", ""canadian arctic"", ""seal hunt"", ""eskimo"", ""arctic"", ""husky dog"", ""harpoon"", ""national film registry"", ""gramophone"", ""docudrama"", ""winter"", ""walrus"", ""quebec"", ""dog fight"", ""anthropology"", ""ethnography"", ""eskimo indian"", ""family in bed together"", ""snow adventure"", ""travel documentary"", ""anthropological documentary"", ""docudrama drama"", ""family relationships"", ""knife"", ""film starts with text"", ""raw meat"", ""survival"", ""dog"", ""snow"", ""seal the animal"", ""visual anthropology"", ""visual sociology"", ""visual ethnography"", ""sociology"", ""starvation""]","In this silent predecessor to the modern documentary, film-maker Robert J. Flaherty spends one year following the lives of Nanook and his family, Inuits living in the Arctic Circle.","[""nm1354245"", ""nm0638725"", ""nm0192066"", ""nm0020180""]","[""nm0280904""]"
